Dataset,F1_measure,Accuracy,Precision,Recall,TimeToken
HDFS,0.999982,0.997500,1.000000,0.999965,0:00:00.147637
Hadoop,0.998957,0.944500,0.998109,0.999806,0:00:00.149419
Spark,0.991895,0.922500,0.983920,1.000000,0:00:00.138133
Zookeeper,0.999531,0.965000,0.999182,0.999880,0:00:00.095997
BGL,0.999495,0.947000,0.999037,0.999955,0:00:00.111503
HPC,0.878729,0.637500,0.978890,0.797162,0:00:00.081722
Thunderbird,0.999314,0.947500,0.999760,0.998868,0:00:00.148833
Windows,0.999971,0.990500,0.999986,0.999956,0:00:00.096376
Linux,0.936988,0.627500,0.897473,0.980143,0:00:00.130197
Android,0.876802,0.559000,0.940793,0.820962,0:00:00.107385
HealthApp,0.912483,0.629000,0.971427,0.860282,0:00:00.095990
Apache,1.000000,1.000000,1.000000,1.000000,0:00:00.076415
Proxifier,0.868904,0.503500,0.999252,0.768639,0:00:00.093437
OpenSSH,0.928335,0.745500,0.866277,0.999971,0:00:00.090802
OpenStack,0.989466,0.740000,0.982051,0.996995,0:00:00.119429
,,,,,